text,label
Tôi muốn học tiếng Anh,Nhu cầu học
Cách học tập hiệu quả là gì?,Học tập
Tôi cần học thiết kế đồ họa,Nhu cầu học
Mình thích vẽ tranh,Sở thích
Lộ trình học phù hợp cho bóng đá là gì?,Lộ trình học
Tôi cần học chơi guitar,Nhu cầu học
Mình thích Java,Sở thích
Mình thích hóa học,Sở thích
Lộ trình học lập trình như thế nào?,Lộ trình học
Tôi cần lộ trình học bóng đá,Lộ trình học
Sở thích của tôi là thiết kế đồ họa,Sở thích
Mình thích Java,Sở thích
Tôi muốn học vẽ tranh,Nhu cầu học
Mình thích tiếng Anh,Sở thích
Tôi muốn biết về tiếng Anh,Nhu cầu học
Mình thích hóa học,Sở thích
Tôi thích vật lý,Sở thích
Sở thích của tôi là vật lý,Sở thích
Tôi cần lộ trình học hóa học,Lộ trình học
Mình thích tiếng Anh,Sở thích
Lộ trình học phù hợp cho chơi guitar là gì?,Lộ trình học
Tôi muốn học hóa học,Nhu cầu học
Tôi muốn biết về Java,Nhu cầu học
Làm sao để học tốt hơn?,Học tập
Tôi muốn học vẽ tranh,Nhu cầu học
Làm sao để học tốt hơn?,Học tập
Lộ trình học phù hợp cho đọc sách là gì?,Lộ trình học
Lộ trình học Python như thế nào?,Lộ trình học
Tôi cần học tiếng Anh,Nhu cầu học
Lộ trình học phù hợp cho khoa học máy tính là gì?,Lộ trình học
Làm sao để học tốt hơn?,Học tập
Tôi muốn học tiếng Anh,Nhu cầu học
Tôi muốn biết về bóng đá,Nhu cầu học
Tôi thích khoa học máy tính,Sở thích
Lộ trình học vật lý như thế nào?,Lộ trình học
Sở thích của tôi là bóng đá,Sở thích
Mình muốn cải thiện kết quả học tập,Học tập
Tôi cần lộ trình học Java,Lộ trình học
Tôi muốn biết về Java,Nhu cầu học
Tôi muốn học Java,Nhu cầu học
Lộ trình học phù hợp cho thiết kế đồ họa là gì?,Lộ trình học
Cách học tập hiệu quả là gì?,Học tập
Mình muốn cải thiện kết quả học tập,Học tập
